,Subject,Condition,Trial,Time_Box,Days_Past,RT,Total.Number.of.People,Unique.Within.Day,Unique.Overall,Specific.Description,Vague.Description
174,2022,Forward Recall,forward,morning,4,54876,6,6,6,6,0
175,2022,Forward Recall,forward,midday,4,21125.4,3,3,3,3,0
176,2022,Forward Recall,forward,evening,4,8455.7,2,0,0,2,0
177,2022,Forward Recall,forward,morning,3,21739,3,3,1,3,0
178,2022,Forward Recall,forward,midday,3,6454.4,1,0,0,1,0
179,2022,Forward Recall,forward,evening,3,5766.1,1,0,0,1,0
180,2022,Forward Recall,forward,morning,2,5970.9,1,1,0,1,0
181,2022,Forward Recall,forward,midday,2,4240.8,1,0,0,1,0
182,2022,Forward Recall,forward,evening,2,4864.4,1,0,0,1,0
183,2022,Forward Recall,forward,morning,1,11292.3,3,3,2,1,2
184,2022,Forward Recall,forward,midday,1,11577.9,1,0,0,1,0
185,2022,Forward Recall,forward,evening,1,7678.6,1,0,0,1,0
186,2023,Backward Recall,backward,evening,1,55168.1,7,7,7,4,3
187,2023,Backward Recall,backward,midday,1,10194.1,12,8,8,5,3
188,2023,Backward Recall,backward,morning,1,31731.9,4,3,3,2,2
189,2023,Backward Recall,backward,evening,2,72238.6,13,13,6,13,0
190,2023,Backward Recall,backward,midday,2,22228.6,2,0,0,2,0
191,2023,Backward Recall,backward,morning,2,5824.3,2,0,0,2,0
192,2023,Backward Recall,backward,evening,3,64979.3,11,11,4,10,1
193,2023,Backward Recall,backward,midday,3,82985.1,2,0,2,2,0
194,2023,Backward Recall,backward,morning,3,7811.7,2,0,0,2,0
195,2023,Backward Recall,backward,evening,4,74010.8,9,9,3,8,1
196,2023,Backward Recall,backward,midday,4,15084,2,0,0,2,0
197,2023,Backward Recall,backward,morning,4,20107.7,2,0,2,1,1
210,2025,Free Recall,FR,FR,1,52948.5,4,0,4,3,1
211,2026,Forward Recall,forward,morning,4,81424,9,9,9,9,0
212,2026,Forward Recall,forward,midday,4,27755,2,2,2,2,0
213,2026,Forward Recall,forward,evening,4,12649,4,3,3,4,0
214,2026,Forward Recall,forward,morning,3,8239,1,1,1,1,0
215,2026,Forward Recall,forward,midday,3,21054,3,3,2,3,0
216,2026,Forward Recall,forward,evening,3,7624,1,0,0,1,0
217,2026,Forward Recall,forward,morning,2,19444,4,4,2,4,0
218,2026,Forward Recall,forward,midday,2,4428,2,2,0,2,0
219,2026,Forward Recall,forward,evening,2,13432,2,0,0,2,0
220,2026,Forward Recall,forward,morning,1,46939,3,3,0,3,0
221,2026,Forward Recall,forward,midday,1,3848,1,0,0,1,0
222,2026,Forward Recall,forward,evening,1,1672,3,2,2,0,3
223,2027,Free Recall,FR,FR,1,41076,6,0,6,6,0
224,2028,Free Recall,FR,FR,1,18372.8,1,0,1,1,0
237,2030,Backward Recall,backward,evening,1,8834.3,6,6,6,2,1
238,2030,Backward Recall,backward,midday,1,31227.7,8,8,6,5,1
239,2030,Backward Recall,backward,morning,1,17929.1,2,1,1,2,0
240,2030,Backward Recall,backward,evening,2,45764.6,3,3,3,6,0
241,2030,Backward Recall,backward,midday,2,37346,4,2,1,4,0
242,2030,Backward Recall,backward,morning,2,11527.2,2,0,0,2,0
